first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Junior,Barata,n/a,"5' 10""",170 lbs.,n/a,Orthodox,8,3,1,n/a,4.03,33%,8.46,34%,0,0%,0%,0
Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,12,4,0,n/a,5.17,48%,4.23,49%,0.45,40%,46%,0.2
Edson,Barboza,Junior,"5' 11""",155 lbs.,"75.0""",Orthodox,18,4,0,n/a,3.99,41%,3.42,64%,0.62,53%,86%,0.1
Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,8,3,0,n/a,4.43,36%,3.87,59%,0.63,42%,63%,0.4
James,Barnes,n/a,"5' 8""",145 lbs.,n/a,n/a,4,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Nick,Barnes,n/a,"5' 11""",170 lbs.,n/a,n/a,10,1,0,n/a,2.86,29%,8.93,51%,5.36,100%,100%,5.4
Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,n/a,3.2,50%,2.11,57%,1.26,55%,55%,1.4
Chris,Barnhizer,n/a,n/a,n/a,n/a,n/a,1,2,0,n/a,0,0%,0,0%,0,0%,0%,0
David,Baron,n/a,"5' 6""",155 lbs.,n/a,Switch,17,3,1,n/a,1.17,30%,2.1,56%,0,0%,14%,0.7
Phil,Baroni,The New York Bad Ass,"5' 9""",170 lbs.,"72.0""",Orthodox,14,15,0,n/a,2.77,45%,3.93,40%,1.46,47%,60%,0.5
Dan,Barrera,The Fireman,"5' 9""",170 lbs.,n/a,Orthodox,3,1,0,n/a,0.8,70%,1.2,28%,1,8%,0%,0
Carlos,Barreto,n/a,"6' 4""",230 lbs.,n/a,Orthodox,14,9,0,n/a,0,0%,0,0%,0,0%,0%,0
Jose,Barreto,n/a,n/a,185 lbs.,n/a,Southpaw,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
David,Barrios,n/a,"5' 6""",145 lbs.,n/a,n/a,4,5,0,n/a,0,0%,0,0%,0,0%,0%,0
Alexandre,Barros,Baixinho,"5' 9""",170 lbs.,n/a,Southpaw,18,8,0,n/a,0.98,40%,4.05,36%,1.84,50%,100%,0
Ricardo,Barros,n/a,"6' 1""",205 lbs.,n/a,n/a,2,2,0,n/a,0,0%,8.22,31%,0,0%,100%,0
Francimar,Barroso,Bodao,"6' 1""",205 lbs.,"75.0""",Orthodox,18,5,0,n/a,2.75,53%,2.88,52%,1.72,18%,84%,0
Pat,Barry,HD,"5' 11""",235 lbs.,"74.0""",Orthodox,8,7,0,n/a,2.72,52%,3.54,59%,0,0%,76%,0.2
Enrique,Barzola,El Fuerte,"5' 7""",145 lbs.,"70.0""",n/a,13,3,1,n/a,3.67,45%,1.78,71%,4.33,43%,66%,0
Stephen,Bass,Bigfish,"5' 9""",145 lbs.,n/a,n/a,10,1,0,n/a,4.87,52%,5.87,55%,0,0%,0%,0
Sean,Bassett,n/a,n/a,155 lbs.,n/a,n/a,0,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Ryan,Bastianelli,Relentless,"5' 5""",135 lbs.,n/a,n/a,5,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Shayna,Baszler,The Queen of Spades,"5' 7""",135 lbs.,"67.0""",Orthodox,15,10,0,n/a,2.49,30%,6.36,51%,0.67,18%,44%,1.3
Chris,Beal,Real Deal,"5' 7""",125 lbs.,"69.0""",Orthodox,10,3,0,n/a,3.45,35%,3.18,61%,1.6,58%,78%,0.2
Rudy,Bears,n/a,"5' 11""",170 lbs.,n/a,Southpaw,13,11,0,n/a,1.27,29%,2.53,50%,0,0%,0%,0
Salvador,Becerra,n/a,"5' 9""",155 lbs.,n/a,n/a,4,1,0,n/a,4.57,31%,3.83,58%,0,0%,66%,0
Jeff,Bedard,Little Popeye,"5' 6""",145 lbs.,n/a,Orthodox,13,3,0,n/a,0.8,51%,0,100%,3.43,66%,100%,2.6
Eric,Bedard,Lucky Strikes,"6' 2""",239 lbs.,n/a,n/a,6,6,0,n/a,6.37,35%,8.54,52%,0,0%,0%,0
Johnny,Bedford,Brutal,"5' 10""",135 lbs.,"71.0""",Orthodox,19,13,1,n/a,4.53,50%,1.75,63%,1.83,62%,62%,0
Chase,Beebe,n/a,"5' 7""",135 lbs.,"67.0""",Orthodox,19,8,1,n/a,2.17,38%,1.64,69%,2.49,42%,41%,0.9
Lyle,Beerbohm,Fancy Pants,"5' 10""",155 lbs.,n/a,Southpaw,15,2,0,n/a,1.98,55%,1.61,54%,2.1,23%,64%,0.3
Mirsad,Bektic,n/a,"5' 8""",145 lbs.,"70.0""",Orthodox,11,0,0,n/a,2.61,46%,0.85,73%,4.14,61%,100%,0.8
Alan,Belcher,The Talent,"6' 2""",185 lbs.,"73.0""",Orthodox,17,7,0,n/a,2.7,41%,3.1,59%,0.44,26%,55%,0.9
Vitor,Belfort,The Phenom,"6' 0""",185 lbs.,"74.0""",Southpaw,25,13,0,n/a,1.54,47%,2.71,51%,1.15,60%,53%,0.7
Joey,Beltran,The Mexicutioner,"6' 1""",185 lbs.,"75.0""",Orthodox,15,9,0,n/a,4.92,36%,5.27,54%,0.48,18%,75%,0
Marco,Beltran,Psycho,"5' 8""",135 lbs.,"69.0""",Orthodox,8,5,0,n/a,2.12,40%,1.76,60%,0.76,40%,37%,0.4
Joseph,Benavidez,n/a,"5' 4""",125 lbs.,"65.0""",Southpaw,24,4,0,n/a,3.42,33%,2.36,65%,1.21,29%,66%,0.8
Mike,Bencic,Batman,"6' 0""",215 lbs.,n/a,Orthodox,1,2,0,n/a,0,0%,3.32,53%,0,0%,0%,0
Dave,Beneteau,Dangerous,"6' 2""",250 lbs.,n/a,Orthodox,6,5,1,n/a,0,0%,0,0%,0,0%,0%,0
Karla,Benitez,n/a,"5' 3""",113 lbs.,n/a,n/a,6,2,0,n/a,0,0%,2.4,57%,0,0%,100%,0
Gabriel,Benitez,Moggly,"5' 8""",145 lbs.,"71.0""",n/a,19,6,0,n/a,3.79,45%,2.48,71%,0,0%,52%,3
Charles,Bennett,Krazy Horse,"5' 8""",155 lbs.,n/a,Orthodox,25,23,2,n/a,1.39,39%,1.35,64%,2.02,100%,36%,2
Josh,Bennett,n/a,"6' 4""",259 lbs.,n/a,Orthodox,12,13,0,n/a,2.9,40%,5.8,43%,1.5,100%,100%,0
